Source,HHMMSS,MJD,Freq,elev,Flux,Flux_err
***,,,,,,
0235+164,185316.0,53349.787,8000.0,0.0,1.505,0.064
0235+164,212428.0,53349.892,8000.0,0.0,1.477,0.069
0235+164,232107.0,53349.973,8000.0,0.0,1.492,0.066
0235+164,12624.0,53350.06,8000.0,0.0,1.536,0.087
0235+164,153014.0,53350.646,8000.0,0.0,1.542,0.087
0235+164,203531.0,53350.858,8000.0,0.0,1.454,0.063
0235+164,222916.0,53350.937,8000.0,0.0,1.483,0.066
0235+164,201648.0,53351.845,8000.0,0.0,1.576,0.062
0235+164,222331.0,53351.933,8000.0,0.0,1.498,0.063
0235+164,170643.0,53354.713,5000.0,0.0,1.394,0.057
0235+164,222916.0,53354.937,5000.0,0.0,1.389,0.038
0235+164,170809.0,53357.714,5000.0,0.0,1.383,0.028
0235+164,221159.0,53357.925,5000.0,0.0,1.365,0.03
0235+164,170809.0,53358.714,5000.0,0.0,1.384,0.065
0235+164,221159.0,53358.925,5000.0,0.0,1.371,0.026
0235+164,170809.0,53359.714,5000.0,0.0,1.375,0.024
0235+164,221159.0,53359.925,5000.0,0.0,1.379,0.031
0235+164,173531.0,53376.733,22000.0,0.0,1.615,0.106
0235+164,183140.0,53376.772,22000.0,0.0,1.706,0.114
0235+164,173531.0,53377.733,22000.0,0.0,1.646,0.107
0235+164,183140.0,53377.772,22000.0,0.0,1.627,0.11
0235+164,183140.0,53378.772,22000.0,0.0,1.633,0.112
0235+164,173531.0,53379.733,22000.0,0.0,1.58,0.113
0235+164,183140.0,53379.772,22000.0,0.0,1.622,0.107
0235+164,173823.0,53380.735,22000.0,0.0,1.629,0.11
0235+164,183140.0,53380.772,22000.0,0.0,1.578,0.103
0235+164,170516.0,53381.712,5000.0,0.0,1.321,0.029
0235+164,135052.0,53382.577,8000.0,0.0,1.379,0.044
0235+164,151423.0,53382.635,8000.0,0.0,1.285,0.043
0235+164,163921.0,53382.694,8000.0,0.0,1.382,0.045
0235+164,173531.0,53382.733,8000.0,0.0,1.353,0.044
0235+164,174243.0,53383.738,5000.0,0.0,1.24,0.024
0235+164,181550.0,53384.761,5000.0,0.0,1.253,0.021
0235+164,174243.0,53385.738,5000.0,0.0,1.255,0.019
0235+164,174243.0,53386.738,5000.0,0.0,1.263,0.02
0235+164,174243.0,53387.738,5000.0,0.0,1.23,0.021
0235+164,201102.0,53387.841,8000.0,0.0,1.148,0.084
0235+164,202400.0,53387.85,8000.0,0.0,1.063,0.075
0235+164,174243.0,53388.738,5000.0,0.0,1.281,0.02
0235+164,174243.0,53389.738,5000.0,0.0,1.318,0.022
0235+164,154145.0,53412.654,8000.0,0.0,1.428,0.061
0235+164,154019.0,53413.653,22000.0,0.0,1.388,0.067
0235+164,131033.0,53414.549,22000.0,0.0,1.27,0.107
0235+164,143950.0,53414.611,22000.0,0.0,1.346,0.166
0235+164,154019.0,53414.653,22000.0,0.0,1.442,0.095
0235+164,144828.0,53417.617,8000.0,0.0,1.077,0.175
0235+164,103502.0,53441.441,22000.0,0.0,1.17,0.14
0235+164,120252.0,53441.502,22000.0,0.0,1.081,0.09
0235+164,131033.0,53442.549,22000.0,0.0,1.145,0.083
0235+164,104047.0,53443.445,22000.0,0.0,1.245,0.056
0235+164,121004.0,53443.507,22000.0,0.0,1.208,0.058
0235+164,121716.0,53444.512,5000.0,0.0,1.228,0.022
0235+164,112945.0,53445.479,5000.0,0.0,1.256,0.021
0235+164,112819.0,53446.478,5000.0,0.0,1.238,0.021
0235+164,104214.0,53448.446,5000.0,0.0,1.183,0.021
0235+164,112400.0,53449.475,5000.0,0.0,1.228,0.021
0235+164,104214.0,53450.446,5000.0,0.0,1.215,0.022
0235+164,104047.0,53451.445,8000.0,0.0,1.185,0.019
0235+164,132624.0,53454.56,5000.0,0.0,1.171,0.079
0235+164,143823.0,53454.61,8000.0,0.0,1.267,0.136
0235+164,144955.0,53454.618,8000.0,0.0,1.213,0.158
0235+164,152848.0,53454.645,5000.0,0.0,1.166,0.078
0235+164,154019.0,53454.653,5000.0,0.0,1.206,0.096
0235+164,174536.0,53456.74,5000.0,0.0,1.171,0.084
0235+164,175707.0,53456.748,5000.0,0.0,1.166,0.092
0235+164,82945.0,53457.354,8000.0,0.0,1.165,0.093
0235+164,84116.0,53457.362,8000.0,0.0,1.163,0.097
0235+164,121716.0,53457.512,5000.0,0.0,1.132,0.078
0235+164,122848.0,53457.52,5000.0,0.0,1.167,0.074
0235+164,94438.0,53463.406,8000.0,0.0,1.221,0.021
0235+164,111228.0,53463.467,8000.0,0.0,1.217,0.04
0235+164,94604.0,53464.407,8000.0,0.0,1.145,0.032
0235+164,111102.0,53464.466,8000.0,0.0,1.201,0.03
0235+164,94019.0,53465.403,22000.0,0.0,0.988,0.404
0235+164,111102.0,53465.466,22000.0,0.0,0.708,0.532
0235+164,121004.0,53465.507,22000.0,0.0,1.078,0.404
0235+164,163043.0,53477.688,5000.0,0.0,0.859,0.1
0235+164,164214.0,53477.696,5000.0,0.0,0.863,0.106
0235+164,84409.0,53478.364,8000.0,0.0,1.225,0.108
0235+164,85540.0,53478.372,8000.0,0.0,1.193,0.086
0235+164,144116.0,53478.612,8000.0,0.0,1.119,0.089
0235+164,145248.0,53478.62,8000.0,0.0,1.206,0.075
0235+164,71912.0,53504.305,8000.0,0.0,1.097,0.238
0235+164,95609.0,53504.414,8000.0,0.0,0.989,0.074
0235+164,132038.0,53504.556,8000.0,0.0,1.067,0.073
0235+164,95316.0,53505.412,8000.0,0.0,1.095,0.059
0235+164,131619.0,53505.553,8000.0,0.0,1.038,0.079
0235+164,144955.0,53505.618,5000.0,0.0,1.045,0.154
0235+164,73335.0,53506.315,8000.0,0.0,1.008,0.098
0235+164,71033.0,53510.299,22000.0,0.0,0.597,0.432
0235+164,71033.0,53511.299,22000.0,0.0,0.409,0.528
0235+164,94857.0,53511.409,8000.0,0.0,1.071,0.068
0235+164,131326.0,53511.551,5000.0,0.0,1.307,0.098
0235+164,105512.0,53543.455,5000.0,0.0,1.129,0.099
0235+164,110643.0,53543.463,5000.0,0.0,1.078,0.093
0235+164,55121.0,53544.244,5000.0,0.0,1.149,0.075
0235+164,60252.0,53544.252,5000.0,0.0,1.14,0.082
0235+164,101619.0,53544.428,8000.0,0.0,1.469,0.1
0235+164,91257.0,53576.384,5000.0,0.0,1.28,0.089
0235+164,92428.0,53576.392,5000.0,0.0,1.268,0.088
0235+164,14800.0,53577.075,8000.0,0.0,1.716,0.237
0235+164,15931.0,53577.083,8000.0,0.0,1.923,0.135
0235+164,52400.0,53577.225,5000.0,0.0,1.167,0.088
0235+164,53657.0,53577.234,5000.0,0.0,1.254,0.086
0235+164,95150.0,53577.411,8000.0,0.0,1.81,0.181
0235+164,2302.0,53578.016,8000.0,0.0,1.797,0.108
0235+164,52945.0,53578.229,8000.0,0.0,1.78,0.125
0235+164,5024.0,53588.035,8000.0,0.0,1.405,0.125
0235+164,10155.0,53588.043,8000.0,0.0,1.461,0.122
0235+164,12457.0,53588.059,8000.0,0.0,1.487,0.092
0235+164,13628.0,53588.067,8000.0,0.0,1.584,0.092
0235+164,14926.0,53588.076,5000.0,0.0,1.16,0.09
0235+164,15638.0,53588.081,5000.0,0.0,1.249,0.078
0235+164,20935.0,53588.09,5000.0,0.0,1.212,0.092
0235+164,22107.0,53588.098,5000.0,0.0,1.117,0.083
0235+164,80516.0,53605.337,8000.0,0.0,1.675,0.178
0235+164,81648.0,53605.345,8000.0,0.0,1.681,0.097
0235+164,224800.0,53605.95,5000.0,0.0,1.377,0.093
0235+164,225931.0,53605.958,5000.0,0.0,1.351,0.096
0235+164,25248.0,53606.12,8000.0,0.0,1.514,0.079
0235+164,30419.0,53606.128,8000.0,0.0,1.519,0.103
0235+164,222750.0,53636.936,22000.0,0.0,1.791,0.428
0235+164,223921.0,53636.944,22000.0,0.0,1.695,0.418
0235+164,25833.0,53637.124,8000.0,0.0,1.645,0.101
0235+164,31004.0,53637.132,8000.0,0.0,1.569,0.087
0235+164,221912.0,53637.93,8000.0,0.0,1.409,0.074
0235+164,223043.0,53637.938,8000.0,0.0,1.431,0.093
0235+164,30545.0,53638.129,22000.0,0.0,1.781,0.312
0235+164,31716.0,53638.137,22000.0,0.0,1.717,0.328
0235+164,202945.0,53638.854,5000.0,0.0,1.289,0.083
0235+164,204116.0,53638.862,5000.0,0.0,1.331,0.093
0235+164,4145.0,53639.029,5000.0,0.0,1.317,0.079
0235+164,5316.0,53639.037,5000.0,0.0,1.346,0.081
0235+164,45931.0,53639.208,5000.0,0.0,1.344,0.092
0235+164,51102.0,53639.216,5000.0,0.0,1.373,0.079
0235+164,224214.0,53639.946,5000.0,0.0,1.409,0.082
0235+164,225512.0,53639.955,5000.0,0.0,1.266,0.08
0235+164,31843.0,53640.138,5000.0,0.0,1.349,0.086
0235+164,33140.0,53640.147,5000.0,0.0,1.451,0.077
0235+164,200643.0,53697.838,22000.0,0.0,3.559,0.508
0235+164,201648.0,53697.845,22000.0,0.0,3.381,0.428
0235+164,711.0,53698.005,8000.0,0.0,2.359,0.137
0235+164,1843.0,53698.013,8000.0,0.0,2.352,0.13
0235+164,184731.0,53698.783,8000.0,0.0,1.987,0.113
0235+164,185902.0,53698.791,8000.0,0.0,2.189,0.095
0235+164,170223.0,53720.71,8000.0,0.0,2.116,0.09
0235+164,171355.0,53720.718,8000.0,0.0,2.185,0.084
0235+164,212848.0,53721.895,8000.0,0.0,2.203,0.083
0235+164,214019.0,53721.903,8000.0,0.0,2.313,0.099
0235+164,192457.0,53722.809,22000.0,0.0,2.81,0.407
0235+164,193628.0,53722.817,22000.0,0.0,2.714,0.409
0235+164,200223.0,53723.835,5000.0,0.0,1.845,0.096
0235+164,201521.0,53723.844,5000.0,0.0,1.836,0.1
0235+164,135052.0,53741.577,8000.0,0.0,2.599,0.061
0235+164,153559.0,53741.65,8000.0,0.0,2.692,0.064
0235+164,134633.0,53742.574,8000.0,0.0,2.679,0.07
0235+164,153559.0,53742.65,8000.0,0.0,2.788,0.063
0235+164,170223.0,53742.71,8000.0,0.0,2.805,0.094
0235+164,171355.0,53742.718,8000.0,0.0,2.792,0.096
0235+164,214311.0,53742.905,22000.0,0.0,2.787,0.393
0235+164,215443.0,53742.913,22000.0,0.0,3.089,0.439
0235+164,175833.0,53743.749,8000.0,0.0,2.84,0.105
0235+164,220740.0,53743.922,22000.0,0.0,3.115,0.343
0235+164,221912.0,53743.93,22000.0,0.0,2.805,0.335
0235+164,151131.0,53750.633,22000.0,0.0,3.281,0.198
0235+164,202233.0,53763.849,5000.0,0.0,2.029,0.104
0235+164,203404.0,53763.857,5000.0,0.0,2.006,0.102
0235+164,155902.0,53765.666,8000.0,0.0,2.393,0.172
0235+164,200935.0,53765.84,22000.0,0.0,2.668,0.372
0235+164,164047.0,53766.695,22000.0,0.0,2.624,0.379
0235+164,165219.0,53766.703,22000.0,0.0,2.549,0.298
0235+164,151257.0,53770.634,5000.0,0.0,2.001,0.094
0235+164,152555.0,53770.643,5000.0,0.0,2.111,0.076
0235+164,153726.0,53770.651,5000.0,0.0,2.058,0.083
0235+164,153140.0,53771.647,8000.0,0.0,2.373,0.114
0235+164,154438.0,53771.656,8000.0,0.0,2.481,0.113
0235+164,155736.0,53771.665,8000.0,0.0,2.642,0.117
0235+164,162331.0,53772.683,22000.0,0.0,2.846,0.318
0235+164,163502.0,53772.691,22000.0,0.0,2.956,0.321
0235+164,164800.0,53772.7,22000.0,0.0,2.948,0.318
0235+164,134047.0,53804.57,8000.0,0.0,2.231,0.092
0235+164,135345.0,53804.579,8000.0,0.0,2.284,0.099
0235+164,140516.0,53804.587,8000.0,0.0,2.256,0.1
0235+164,132750.0,53805.561,22000.0,0.0,2.964,0.32
0235+164,134047.0,53805.57,22000.0,0.0,3.033,0.321
0235+164,115707.0,53826.498,5000.0,0.0,1.614,0.092
0235+164,122136.0,53826.515,5000.0,0.0,1.756,0.098
0235+164,114702.0,53830.491,8000.0,0.0,2.677,0.22
0235+164,120000.0,53830.5,8000.0,0.0,2.524,0.185
0235+164,104926.0,53849.451,22000.0,0.0,2.142,0.32
0235+164,110223.0,53849.46,22000.0,0.0,2.208,0.332
0235+164,75052.0,53854.327,43000.0,0.0,1.504,0.703
0235+164,45052.0,53879.202,43000.0,0.0,1.759,0.705
0235+164,65150.0,53879.286,43000.0,0.0,1.703,0.499
0235+164,73502.0,53908.316,8000.0,0.0,1.87,0.087
0235+164,25121.0,53911.119,43000.0,0.0,1.838,0.77
0235+164,45052.0,53913.202,43000.0,0.0,1.808,0.609
0235+164,54243.0,53927.238,22000.0,0.0,1.752,0.381
0235+164,35150.0,53928.161,43000.0,0.0,1.267,0.461
0235+164,35024.0,53931.16,43000.0,0.0,1.354,0.648
0235+164,235121.0,53950.994,43000.0,0.0,0.738,0.493
0235+164,15052.0,53951.077,43000.0,0.0,1.173,0.415
0235+164,15052.0,53952.077,43000.0,0.0,0.927,0.382
0235+164,235121.0,53952.994,43000.0,0.0,0.959,0.451
0235+164,15052.0,53953.077,43000.0,0.0,1.082,0.414
0235+164,33852.0,53955.152,22000.0,0.0,1.745,0.311
0235+164,35150.0,53955.161,22000.0,0.0,1.395,0.296
0235+164,40447.0,53955.17,22000.0,0.0,1.206,0.302
0235+164,52233.0,53956.224,8000.0,0.0,1.813,0.096
0235+164,230643.0,53970.963,43000.0,0.0,0.772,0.604
0235+164,5150.0,53971.036,43000.0,0.0,0.68,0.392
0235+164,5150.0,53972.036,43000.0,0.0,0.948,0.453
0235+164,230643.0,53972.963,43000.0,0.0,0.87,0.506
0235+164,5150.0,53973.036,43000.0,0.0,0.651,0.387
0235+164,23823.0,53973.11,22000.0,0.0,0.865,0.343
0235+164,25121.0,53973.119,22000.0,0.0,1.275,0.324
0235+164,30419.0,53973.128,22000.0,0.0,0.873,0.317
0235+164,33307.0,53974.148,8000.0,0.0,1.51,0.057
0235+164,32721.0,53975.144,5000.0,0.0,1.586,0.079
0235+164,34019.0,53975.153,5000.0,0.0,1.519,0.082
0235+164,225052.0,53997.952,43000.0,0.0,0.432,0.333
0235+164,205121.0,53998.869,43000.0,0.0,0.787,0.417
0235+164,205121.0,53999.869,43000.0,0.0,0.457,0.426
0235+164,225052.0,53999.952,43000.0,0.0,0.601,0.309
0235+164,205121.0,54000.869,43000.0,0.0,0.741,0.405
0235+164,231648.0,54009.97,22000.0,0.0,0.87,0.312
0235+164,232945.0,54009.979,22000.0,0.0,0.45,0.276
0235+164,10321.0,54011.044,8000.0,0.0,0.859,0.086
0235+164,3140.0,54012.022,5000.0,0.0,1.085,0.09
0235+164,4604.0,54012.032,5000.0,0.0,1.121,0.109
0235+164,225219.0,54021.953,22000.0,0.0,0.567,0.278
0235+164,230643.0,54021.963,22000.0,0.0,0.643,0.283
0235+164,231102.0,54022.966,8000.0,0.0,0.817,0.059
0235+164,220907.0,54023.923,5000.0,0.0,0.973,0.055
0235+164,222204.0,54023.932,5000.0,0.0,0.987,0.063
0235+164,223502.0,54023.941,5000.0,0.0,1.004,0.061
0235+164,203657.0,54025.859,43000.0,0.0,0.559,0.406
0235+164,203657.0,54026.859,43000.0,0.0,0.395,0.361
0235+164,223921.0,54037.944,8000.0,0.0,0.716,0.082
0235+164,214311.0,54056.905,22000.0,0.0,0.732,0.409
0235+164,215609.0,54056.914,22000.0,0.0,1.062,0.481
0235+164,220907.0,54056.923,22000.0,0.0,0.765,0.653
0235+164,202526.0,54058.851,8000.0,0.0,0.713,0.049
0235+164,193502.0,54079.816,8000.0,0.0,0.812,0.073
0235+164,220740.0,54080.922,22000.0,0.0,0.736,0.324
0235+164,222038.0,54080.931,22000.0,0.0,0.898,0.334
0235+164,223335.0,54080.94,22000.0,0.0,1.108,0.347
0235+164,185024.0,54098.785,8000.0,0.0,0.755,0.05
0235+164,165512.0,54119.705,22000.0,0.0,1.225,0.494
0235+164,170935.0,54119.715,22000.0,0.0,1.525,0.449
0235+164,172233.0,54119.724,22000.0,0.0,1.065,0.356
0235+164,173531.0,54119.733,22000.0,0.0,1.053,0.397
0235+164,172652.0,54121.727,8000.0,0.0,0.807,0.072
0235+164,151423.0,54147.635,22000.0,0.0,2.071,0.264
0235+164,154019.0,54147.653,22000.0,0.0,1.945,0.328
0235+164,151716.0,54149.637,8000.0,0.0,1.406,0.152
0235+164,131033.0,54183.549,22000.0,0.0,3.695,0.432
0235+164,132331.0,54183.558,22000.0,0.0,3.699,0.429
0235+164,133755.0,54183.568,22000.0,0.0,3.803,0.454
0235+164,135052.0,54183.577,22000.0,0.0,3.986,0.474
0235+164,84116.0,54197.362,22000.0,0.0,4.045,0.414
0235+164,85414.0,54197.371,22000.0,0.0,4.127,0.354
0235+164,121131.0,54199.508,8000.0,0.0,2.66,0.081
0235+164,93140.0,54218.397,22000.0,0.0,5.503,0.417
0235+164,93140.0,54218.397,22000.0,0.0,5.503,0.417
0235+164,94438.0,54218.406,22000.0,0.0,5.331,0.424
0235+164,94438.0,54218.406,22000.0,0.0,5.331,0.424
0235+164,95736.0,54218.415,22000.0,0.0,5.43,0.379
0235+164,95736.0,54218.415,22000.0,0.0,5.43,0.379
0235+164,123140.0,54220.522,8000.0,0.0,3.236,0.155
0235+164,123140.0,54220.522,8000.0,0.0,3.236,0.155
0235+164,42331.0,54274.183,22000.0,0.0,3.153,0.594
0235+164,44800.0,54274.2,22000.0,0.0,2.861,0.457
0235+164,45638.0,54275.206,8000.0,0.0,3.042,0.114
0235+164,53238.0,54276.231,5000.0,0.0,2.397,0.091
0235+164,25121.0,54277.119,43000.0,0.0,2.684,0.38
0235+164,45052.0,54277.202,43000.0,0.0,2.82,0.457
0235+164,60545.0,54288.254,22000.0,0.0,2.124,0.324
0235+164,61843.0,54288.263,22000.0,0.0,2.804,0.296
0235+164,43755.0,54289.193,8000.0,0.0,2.883,0.104
0235+164,45219.0,54290.203,5000.0,0.0,2.328,0.075
0235+164,50516.0,54290.212,5000.0,0.0,2.337,0.112
0235+164,80643.0,54294.338,22000.0,0.0,2.406,0.326
0235+164,81940.0,54294.347,22000.0,0.0,2.226,0.362
0235+164,83404.0,54294.357,22000.0,0.0,2.393,0.355
0235+164,61131.0,54296.258,8000.0,0.0,2.598,0.091
0235+164,61004.0,54297.257,5000.0,0.0,2.361,0.081
0235+164,62302.0,54297.266,5000.0,0.0,2.459,0.083
0235+164,235248.0,54320.995,43000.0,0.0,1.534,0.332
0235+164,15219.0,54321.078,43000.0,0.0,1.509,0.254
0235+164,235121.0,54321.994,43000.0,0.0,1.491,0.289
0235+164,15052.0,54322.077,43000.0,0.0,1.444,0.207
0235+164,42916.0,54323.187,22000.0,0.0,2.275,1.019
0235+164,51102.0,54325.216,8000.0,0.0,1.977,0.074
0235+164,30252.0,54344.127,8000.0,0.0,1.83,0.068
0235+164,34019.0,54345.153,22000.0,0.0,1.964,0.359
0235+164,40614.0,54345.171,22000.0,0.0,1.699,0.354
0235+164,41912.0,54345.18,22000.0,0.0,1.705,0.43
0235+164,21648.0,54348.095,5000.0,0.0,1.749,0.066
0235+164,23111.0,54348.105,5000.0,0.0,1.691,0.063
0235+164,24409.0,54348.114,5000.0,0.0,1.782,0.059
0235+164,25707.0,54348.123,5000.0,0.0,1.813,0.061
0235+164,225052.0,54364.952,43000.0,0.0,1.348,0.168
0235+164,205833.0,54366.874,43000.0,0.0,1.126,0.149
0235+164,225219.0,54366.953,43000.0,0.0,1.11,0.169
0235+164,22233.0,54372.099,22000.0,0.0,1.901,0.548
0235+164,23531.0,54372.108,22000.0,0.0,1.712,0.671
0235+164,2009.0,54373.014,8000.0,0.0,1.391,0.059
0235+164,5609.0,54374.039,5000.0,0.0,1.493,0.067
0235+164,10907.0,54374.048,5000.0,0.0,1.48,0.079
0235+164,5316.0,54386.037,22000.0,0.0,0.817,0.279
0235+164,10614.0,54386.046,22000.0,0.0,1.091,0.21
0235+164,11912.0,54386.055,22000.0,0.0,1.494,0.17
0235+164,195052.0,54390.827,43000.0,0.0,1.665,0.199
0235+164,205248.0,54390.87,43000.0,0.0,1.367,0.196
0235+164,212136.0,54390.89,43000.0,0.0,1.52,0.179
0235+164,232945.0,54396.979,5000.0,0.0,1.388,0.058
0235+164,234409.0,54396.989,5000.0,0.0,1.394,0.059
0235+164,214311.0,54420.905,8000.0,0.0,1.242,0.079
0235+164,183014.0,54421.771,43000.0,0.0,1.395,0.187
0235+164,180252.0,54422.752,43000.0,0.0,1.674,0.258
0235+164,183559.0,54422.775,43000.0,0.0,1.243,0.183
0235+164,170643.0,54423.713,43000.0,0.0,1.199,0.202
0235+164,180252.0,54423.752,43000.0,0.0,1.566,0.263
0235+164,183726.0,54423.776,43000.0,0.0,1.314,0.193
0235+164,170643.0,54424.713,43000.0,0.0,1.545,0.227
0235+164,180252.0,54424.752,43000.0,0.0,1.345,0.226
0235+164,183559.0,54424.775,43000.0,0.0,1.337,0.183
0235+164,202945.0,54434.854,8000.0,0.0,1.275,0.061
0235+164,173657.0,54435.734,43000.0,0.0,1.602,0.357
0235+164,180252.0,54436.752,43000.0,0.0,1.442,0.302
0235+164,183559.0,54436.775,43000.0,0.0,1.421,0.236
0235+164,180252.0,54437.752,43000.0,0.0,1.298,0.299
0235+164,183559.0,54437.775,43000.0,0.0,1.357,0.235
0235+164,173238.0,54450.731,43000.0,0.0,1.721,0.284
0235+164,195638.0,54456.831,22000.0,0.0,1.499,0.29
0235+164,202233.0,54456.849,22000.0,0.0,1.454,0.204
0235+164,203531.0,54456.858,22000.0,0.0,1.497,0.246
0235+164,204955.0,54456.868,22000.0,0.0,1.186,0.25
0235+164,185024.0,54460.785,22000.0,0.0,0.856,0.207
0235+164,190321.0,54460.794,22000.0,0.0,1.21,0.228
0235+164,181550.0,54476.761,8000.0,0.0,1.027,0.094
0235+164,153559.0,54479.65,43000.0,0.0,1.051,0.179
0235+164,140643.0,54480.588,43000.0,0.0,1.359,0.219
0235+164,150252.0,54480.627,43000.0,0.0,1.169,0.204
0235+164,153559.0,54480.65,43000.0,0.0,1.141,0.197
0235+164,124019.0,54506.528,43000.0,0.0,1.032,0.167
0235+164,151257.0,54510.634,22000.0,0.0,0.997,0.104
0235+164,152555.0,54510.643,22000.0,0.0,1.023,0.115
0235+164,153852.0,54510.652,22000.0,0.0,0.92,0.111
0235+164,143238.0,54512.606,8000.0,0.0,0.943,0.051
0235+164,110809.0,54521.464,43000.0,0.0,1.328,0.174
0235+164,120252.0,54521.502,43000.0,0.0,1.374,0.181
0235+164,110643.0,54522.463,43000.0,0.0,1.213,0.146
0235+164,120252.0,54522.502,43000.0,0.0,1.248,0.162
0235+164,110516.0,54523.462,43000.0,0.0,1.328,0.153
0235+164,80643.0,54556.338,43000.0,0.0,1.803,0.197
0235+164,90252.0,54556.377,43000.0,0.0,1.994,0.252
0235+164,93559.0,54556.4,43000.0,0.0,1.665,0.189
0235+164,80643.0,54557.338,43000.0,0.0,1.566,0.206
0235+164,93433.0,54557.399,43000.0,0.0,2.166,0.27
0235+164,131619.0,54561.553,22000.0,0.0,1.292,0.142
0235+164,133043.0,54561.563,22000.0,0.0,1.953,0.143
0235+164,134340.0,54561.572,22000.0,0.0,1.577,0.142
0235+164,113238.0,54563.481,5000.0,0.0,1.186,0.192
0235+164,114536.0,54563.49,5000.0,0.0,1.112,0.161
0235+164,132624.0,54575.56,22000.0,0.0,1.122,0.506
0235+164,133921.0,54575.569,22000.0,0.0,2.62,0.685
0235+164,145707.0,54576.623,8000.0,0.0,1.256,0.056
0235+164,73628.0,54580.317,43000.0,0.0,2.043,0.226
0235+164,60419.0,54597.253,43000.0,0.0,2.531,0.379
0235+164,63726.0,54597.276,43000.0,0.0,2.423,0.336
0235+164,114243.0,54604.488,22000.0,0.0,2.818,0.352
0235+164,125609.0,54605.539,8000.0,0.0,1.626,0.39
0235+164,50223.0,54611.21,43000.0,0.0,3.446,0.383
0235+164,53657.0,54611.234,43000.0,0.0,3.36,0.341
0235+164,50350.0,54612.211,43000.0,0.0,3.468,0.343
0235+164,53657.0,54612.234,43000.0,0.0,2.98,0.314
0235+164,50350.0,54613.211,43000.0,0.0,3.283,0.339
0235+164,53657.0,54613.234,43000.0,0.0,3.058,0.306
0235+164,102038.0,54639.431,22000.0,0.0,3.396,0.362
0235+164,103502.0,54639.441,22000.0,0.0,3.272,0.355
0235+164,103209.0,54640.439,8000.0,0.0,2.757,0.082
0235+164,20643.0,54642.088,43000.0,0.0,4.296,0.463
0235+164,30252.0,54642.127,43000.0,0.0,3.786,0.584
0235+164,33307.0,54642.148,43000.0,0.0,4.267,0.783
0235+164,20643.0,54643.088,43000.0,0.0,4.504,0.478
0235+164,30252.0,54643.127,43000.0,0.0,4.404,0.522
0235+164,33559.0,54643.15,43000.0,0.0,4.32,0.511
0235+164,20643.0,54644.088,43000.0,0.0,4.256,0.453
0235+164,30252.0,54644.127,43000.0,0.0,4.651,0.535
0235+164,33726.0,54644.151,43000.0,0.0,4.275,0.527
0235+164,93140.0,54651.397,22000.0,0.0,2.112,0.393
0235+164,85414.0,54652.371,8000.0,0.0,2.959,0.121
0235+164,20223.0,54659.085,43000.0,0.0,4.529,0.668
0235+164,23657.0,54659.109,43000.0,0.0,4.072,0.647
0235+164,20350.0,54660.086,43000.0,0.0,4.468,0.672
0235+164,23657.0,54660.109,43000.0,0.0,4.233,0.66
0235+164,75931.0,54666.333,22000.0,0.0,3.146,0.318
0235+164,80809.0,54667.339,8000.0,0.0,3.357,0.157
0235+164,10321.0,54680.044,43000.0,0.0,4.014,0.414
0235+164,13628.0,54680.067,43000.0,0.0,3.679,0.386
0235+164,10321.0,54681.044,43000.0,0.0,3.671,0.405
0235+164,13628.0,54681.067,43000.0,0.0,3.714,0.392
0235+164,10321.0,54682.044,43000.0,0.0,4.215,0.469
0235+164,13628.0,54682.067,43000.0,0.0,3.816,0.402
0235+164,65736.0,54687.29,22000.0,0.0,2.781,0.372
0235+164,65902.0,54688.291,8000.0,0.0,3.007,0.133
0235+164,220740.0,54707.922,43000.0,0.0,6.003,0.629
0235+164,230350.0,54707.961,43000.0,0.0,5.434,0.618
0235+164,233657.0,54707.984,43000.0,0.0,4.95,0.54
0235+164,220614.0,54708.921,43000.0,0.0,5.553,0.607
0235+164,230350.0,54708.961,43000.0,0.0,5.069,0.563
0235+164,233657.0,54708.984,43000.0,0.0,4.936,0.528
0235+164,220614.0,54709.921,43000.0,0.0,4.811,0.55
0235+164,230350.0,54709.961,43000.0,0.0,5.417,0.632
0235+164,233657.0,54709.984,43000.0,0.0,4.755,0.538
0235+164,34731.0,54722.158,22000.0,0.0,4.106,0.838
0235+164,40028.0,54722.167,22000.0,0.0,4.835,0.983
0235+164,20223.0,54723.085,8000.0,0.0,3.853,0.412
0235+164,11033.0,54724.049,5000.0,0.0,3.327,0.093
0235+164,12457.0,54724.059,5000.0,0.0,3.244,0.094
0235+164,195219.0,54743.828,43000.0,0.0,5.686,0.814
0235+164,204828.0,54743.867,43000.0,0.0,5.669,0.907
0235+164,212302.0,54743.891,43000.0,0.0,5.172,0.872
0235+164,195052.0,54744.827,43000.0,0.0,6.063,0.818
0235+164,204828.0,54744.867,43000.0,0.0,5.379,0.835
0235+164,212136.0,54744.89,43000.0,0.0,5.531,0.835
0235+164,195052.0,54745.827,43000.0,0.0,6.293,0.853
0235+164,204828.0,54745.867,43000.0,0.0,5.078,0.843
0235+164,212136.0,54745.89,43000.0,0.0,5.069,0.765
0235+164,213140.0,54777.897,8000.0,0.0,6.444,0.172
0235+164,10614.0,54779.046,22000.0,0.0,7.119,0.766
0235+164,11912.0,54779.055,22000.0,0.0,6.743,0.733
0235+164,170643.0,54779.713,43000.0,0.0,6.585,0.887
0235+164,180252.0,54779.752,43000.0,0.0,6.524,0.905
